age,gender,income,city,purchase
24,M,37000,Guangzhou,0
42,F,69000,Beijing,1
34,M,54500,Shenzhen,0
28,F,43000,Shanghai,1
39,M,65000,Guangzhou,1
26,M,42000,Beijing,0
44,F,72000,Shenzhen,1
30,F,50500,Shanghai,0
33,M,52000,Guangzhou,1
41,F,68000,Beijing,1
27,M,43500,Shenzhen,0
35,F,58000,Shanghai,1
43,M,71000,Guangzhou,0
29,F,48000,Beijing,1
36,M,60000,Shenzhen,0
25,F,39000,Shanghai,1
40,M,67000,Guangzhou,1
32,F,54000,Beijing,0
38,M,64000,Shenzhen,1
28,F,45000,Shanghai,1
42,M,70500,Guangzhou,0
31,F,51500,Beijing,0
34,M,56000,Shenzhen,1
45,F,73500,Shanghai,1
26,M,42500,Guangzhou,0
37,F,61000,Beijing,1
41,M,69000,Shenzhen,0
30,F,49500,Shanghai,1
33,M,53500,Guangzhou,0
39,F,66000,Beijing,1
27,M,44000,Shenzhen,1
44,F,72500,Shanghai,0
28,M,45500,Guangzhou,1
32,F,54500,Beijing,1
35,M,57000,Shenzhen,0
40,F,68000,Shanghai,1
26,M,41000,Guangzhou,0
33,F,53000,Beijing,0
38,M,63500,Shenzhen,1
29,F,47500,Shanghai,1
42,M,70500,Guangzhou,0
31,F,51500,Beijing,1
36,M,60500,Shenzhen,0
45,F,74500,Shanghai,1
27,M,43500,Guangzhou,0
34,F,55500,Beijing,1
39,M,66000,Shenzhen,1
30,F,49500,Shanghai,0
33,M,53000,Guangzhou,1
37,F,61500,Beijing,1
26,M,42500,Shenzhen,0
41,F,69500,Shanghai,1
29,M,46500,Guangzhou,0
32,F,53500,Beijing,1
38,M,64000,Shenzhen,1
28,F,45000,Shanghai,0
43,M,72000,Guangzhou,0
31,F,51500,Beijing,1
35,M,57500,Shenzhen,1
40,F,68500,Shanghai,0
27,M,44000,Guangzhou,1
34,F,56000,Beijing,0
39,M,66500,Shenzhen,1
30,F,49000,Shanghai,1
33,M,53500,Guangzhou,0
37,F,62000,Beijing,1
28,M,45500,Shenzhen,0
42,F,71000,Shanghai,1
29,M,47000,Guangzhou,0
35,F,58500,Beijing,1
41,M,69500,Shenzhen,1
26,F,41500,Shanghai,0
34,M,56000,Guangzhou,1
39,F,66500,Beijing,0
30,F,49500,Shenzhen,1
33,M,53000,Shanghai,1
29,F,47500,Guangzhou,0
36,M,61000,Beijing,0
42,F,72000,Shenzhen,1
27,M,43500,Shanghai,1
35,F,57000,Guangzhou,1
40,M,68000,Beijing,0
28,F,45000,Shenzhen,1
33,M,54500,Shanghai,0
38,F,63000,Guangzhou,1
31,M,51000,Beijing,1
36,F,59000,Shenzhen,0
43,M,72500,Shanghai,0
29,F,47500,Guangzhou,1
