user_id,course_id,chapter_id,progress,is_dropout,timestamp
20046,A,ch2,0.55,0,2024-01-18 21:45:00
20047,A,ch2,0.34,1,2024-01-19 22:46:00
20048,C,ch3,0.18,1,2024-01-20 23:47:00
20049,A,ch5,0.22,0,2024-01-21 00:48:00
20050,B,ch4,0.8,1,2024-01-22 01:49:00
20051,C,ch4,0.41,0,2024-01-23 02:50:00
20052,C,ch2,0.65,1,2024-01-24 03:51:00
20053,C,ch5,0.97,1,2024-01-25 04:52:00
20054,C,ch1,0.72,0,2024-01-26 05:53:00
20055,B,ch3,0.96,0,2024-01-27 06:54:00
20056,B,ch3,0.29,1,2024-01-28 07:55:00
20057,A,ch2,0.44,0,2024-01-01 08:56:00
20058,B,ch4,0.55,0,2024-01-02 09:57:00
20059,A,ch5,0.44,1,2024-01-03 10:58:00
20060,B,ch1,0.92,0,2024-01-04 11:59:00
20061,C,ch3,0.15,1,2024-01-05 12:00:00
20062,C,ch4,0.37,1,2024-01-06 13:01:00
20063,C,ch3,0.32,1,2024-01-07 14:02:00
20064,B,ch5,0.61,1,2024-01-08 15:03:00
20065,C,ch4,0.55,0,2024-01-09 16:04:00
20066,B,ch3,0.96,1,2024-01-10 17:05:00
20067,A,ch4,0.69,0,2024-01-11 18:06:00
20068,B,ch5,0.14,0,2024-01-12 19:07:00
20069,A,ch3,0.88,0,2024-01-13 20:08:00
20070,A,ch5,0.88,1,2024-01-14 21:09:00
20071,C,ch3,0.74,0,2024-01-15 22:10:00
20072,A,ch3,0.76,1,2024-01-16 23:11:00
20073,A,ch3,0.36,0,2024-01-17 00:12:00
20074,B,ch4,0.14,1,2024-01-18 01:13:00
20075,C,ch2,0.28,1,2024-01-19 02:14:00
20076,A,ch5,0.86,1,2024-01-20 03:15:00
20077,B,ch2,0.35,1,2024-01-21 04:16:00
20078,B,ch5,0.59,1,2024-01-22 05:17:00
20079,A,ch5,0.95,1,2024-01-23 06:18:00
20080,B,ch4,0.82,1,2024-01-24 07:19:00
20081,A,ch5,0.49,1,2024-01-25 08:20:00
20082,C,ch3,0.24,1,2024-01-26 09:21:00
20083,A,ch2,0.98,1,2024-01-27 10:22:00
20084,A,ch1,0.46,1,2024-01-28 11:23:00
20085,B,ch3,0.59,1,2024-01-01 12:24:00
20086,A,ch4,0.73,0,2024-01-02 13:25:00
20087,B,ch1,0.35,0,2024-01-03 14:26:00
20088,B,ch2,0.56,0,2024-01-04 15:27:00
20089,A,ch4,0.3,1,2024-01-05 16:28:00
20090,C,ch4,0.45,1,2024-01-06 17:29:00
20091,A,ch4,0.88,1,2024-01-07 18:30:00
20092,B,ch1,0.21,0,2024-01-08 19:31:00
20093,B,ch5,0.65,1,2024-01-09 20:32:00
20094,B,ch3,0.43,1,2024-01-10 21:33:00
20095,A,ch1,0.56,0,2024-01-11 22:34:00
20096,A,ch5,0.7,0,2024-01-12 23:35:00
20097,C,ch2,0.96,1,2024-01-13 00:36:00
20098,A,ch4,0.23,0,2024-01-14 01:37:00
20099,A,ch1,0.4,1,2024-01-15 02:38:00
20100,A,ch4,0.49,1,2024-01-16 03:39:00
20101,B,ch1,0.15,1,2024-01-17 04:40:00
20102,C,ch1,0.22,1,2024-01-18 05:41:00
20103,B,ch2,0.84,1,2024-01-19 06:42:00
20104,B,ch3,0.7,1,2024-01-20 07:43:00
20105,A,ch3,0.39,1,2024-01-21 08:44:00
20106,A,ch1,0.15,1,2024-01-22 09:45:00
20107,A,ch3,0.31,1,2024-01-23 10:46:00
20108,A,ch5,0.91,0,2024-01-24 11:47:00
20109,C,ch3,0.92,0,2024-01-25 12:48:00
20110,C,ch3,0.43,1,2024-01-26 13:49:00
20111,B,ch1,0.64,0,2024-01-27 14:50:00
20112,C,ch1,0.82,0,2024-01-28 15:51:00
20113,A,ch3,0.17,0,2024-01-01 16:52:00
20114,C,ch3,0.5,1,2024-01-02 17:53:00
20115,C,ch5,0.28,1,2024-01-03 18:54:00
20116,A,ch2,0.28,1,2024-01-04 19:55:00
20117,B,ch3,0.69,0,2024-01-05 20:56:00
20118,C,ch2,0.45,1,2024-01-06 21:57:00
20119,A,ch2,0.8,0,2024-01-07 22:58:00
20120,A,ch2,1.0,0,2024-01-08 23:59:00
20121,B,ch1,0.9,1,2024-01-09 00:00:00
20122,A,ch3,0.43,1,2024-01-10 01:01:00
20123,A,ch5,0.33,0,2024-01-11 02:02:00
20124,A,ch5,0.21,0,2024-01-12 03:03:00
20125,B,ch3,0.5,1,2024-01-13 04:04:00
20126,A,ch1,0.66,0,2024-01-14 05:05:00
20127,B,ch4,0.84,0,2024-01-15 06:06:00
20128,B,ch2,0.84,1,2024-01-16 07:07:00
20129,A,ch4,0.29,0,2024-01-17 08:08:00
20130,B,ch2,0.82,1,2024-01-18 09:09:00
20131,C,ch3,0.48,0,2024-01-19 10:10:00
20132,B,ch3,0.16,1,2024-01-20 11:11:00
20133,C,ch4,0.34,1,2024-01-21 12:12:00
20134,C,ch5,0.74,0,2024-01-22 13:13:00
20135,B,ch5,0.59,0,2024-01-23 14:14:00
20136,A,ch2,0.38,0,2024-01-24 15:15:00
20137,A,ch4,0.29,1,2024-01-25 16:16:00
20138,A,ch2,0.25,1,2024-01-26 17:17:00
20139,A,ch1,0.5,0,2024-01-27 18:18:00
20140,B,ch5,0.75,0,2024-01-28 19:19:00
20141,C,ch5,0.95,1,2024-01-01 20:20:00
20142,A,ch1,0.5,0,2024-01-02 21:21:00
20143,B,ch1,0.29,1,2024-01-03 22:22:00
20144,C,ch5,0.19,1,2024-01-04 23:23:00
20145,B,ch4,0.65,1,2024-01-05 00:24:00
20146,A,ch4,0.98,0,2024-01-06 01:25:00
20147,A,ch1,0.14,1,2024-01-07 02:26:00
20148,C,ch2,0.8,0,2024-01-08 03:27:00
20149,B,ch3,0.56,0,2024-01-09 04:28:00
20150,B,ch4,0.86,0,2024-01-10 05:29:00
20151,C,ch5,0.18,0,2024-01-11 06:30:00
20152,A,ch5,0.64,1,2024-01-12 07:31:00
20153,C,ch5,0.19,0,2024-01-13 08:32:00
20154,A,ch5,0.53,1,2024-01-14 09:33:00
20155,B,ch3,0.68,1,2024-01-15 10:34:00
20156,C,ch5,1.0,0,2024-01-16 11:35:00
20157,B,ch2,0.25,1,2024-01-17 12:36:00
20158,C,ch1,0.54,0,2024-01-18 13:37:00
20159,B,ch2,0.91,0,2024-01-19 14:38:00
20160,C,ch1,0.31,1,2024-01-20 15:39:00
20161,A,ch5,0.71,1,2024-01-21 16:40:00
20162,B,ch5,0.78,0,2024-01-22 17:41:00
20163,C,ch4,0.4,0,2024-01-23 18:42:00
20164,C,ch4,0.81,0,2024-01-24 19:43:00
20165,C,ch3,0.4,1,2024-01-25 20:44:00
20166,A,ch1,0.76,0,2024-01-26 21:45:00
20167,C,ch5,0.74,1,2024-01-27 22:46:00
20168,A,ch2,0.23,0,2024-01-28 23:47:00
20169,C,ch4,0.77,1,2024-01-01 00:48:00
20170,C,ch2,0.56,0,2024-01-02 01:49:00
20171,B,ch5,0.7,1,2024-01-03 02:50:00
20172,B,ch3,0.99,0,2024-01-04 03:51:00
20173,B,ch2,0.16,0,2024-01-05 04:52:00
20174,B,ch4,0.39,0,2024-01-06 05:53:00
20175,B,ch1,0.98,0,2024-01-07 06:54:00
20176,A,ch1,0.13,0,2024-01-08 07:55:00
20177,B,ch3,0.8,0,2024-01-09 08:56:00
20178,C,ch5,0.53,0,2024-01-10 09:57:00
20179,C,ch3,0.7,1,2024-01-11 10:58:00
20180,A,ch4,0.28,0,2024-01-12 11:59:00
20181,B,ch4,0.68,1,2024-01-13 12:00:00
20182,C,ch2,0.34,0,2024-01-14 13:01:00
20183,C,ch3,0.71,1,2024-01-15 14:02:00
20184,A,ch1,0.6,0,2024-01-16 15:03:00
20185,A,ch5,0.54,1,2024-01-17 16:04:00
20186,C,ch4,0.16,1,2024-01-18 17:05:00
20187,B,ch2,0.4,1,2024-01-19 18:06:00
20188,B,ch1,0.46,1,2024-01-20 19:07:00
20189,B,ch1,0.28,1,2024-01-21 20:08:00
20190,A,ch3,0.26,1,2024-01-22 21:09:00
20191,A,ch4,0.84,0,2024-01-23 22:10:00
20192,B,ch4,0.95,0,2024-01-24 23:11:00
20193,B,ch1,0.18,1,2024-01-25 00:12:00
20194,C,ch4,0.44,0,2024-01-26 01:13:00
20195,B,ch3,0.41,1,2024-01-27 02:14:00
20196,A,ch1,0.12,1,2024-01-28 03:15:00
20197,B,ch1,0.84,0,2024-01-01 04:16:00
20198,B,ch3,0.24,0,2024-01-02 05:17:00
20199,B,ch2,0.58,0,2024-01-03 06:18:00
20200,C,ch4,0.85,1,2024-01-04 07:19:00
20201,A,ch4,0.6,0,2024-01-05 08:20:00
20202,A,ch2,0.52,0,2024-01-06 09:21:00
20203,B,ch4,0.52,0,2024-01-07 10:22:00
20204,B,ch3,0.17,1,2024-01-08 11:23:00
20205,B,ch1,0.92,0,2024-01-09 12:24:00
20206,B,ch4,0.61,0,2024-01-10 13:25:00
20207,A,ch2,0.8,1,2024-01-11 14:26:00
20208,B,ch5,0.5,1,2024-01-12 15:27:00
20209,C,ch2,0.8,1,2024-01-13 16:28:00
20210,C,ch2,0.92,0,2024-01-14 17:29:00
20211,C,ch1,0.62,0,2024-01-15 18:30:00
20212,B,ch4,0.72,0,2024-01-16 19:31:00
20213,A,ch3,0.73,1,2024-01-17 20:32:00
20214,B,ch4,0.24,1,2024-01-18 21:33:00
20215,C,ch2,0.65,1,2024-01-19 22:34:00
20216,A,ch5,0.63,0,2024-01-20 23:35:00
20217,B,ch2,0.65,1,2024-01-21 00:36:00
20218,A,ch3,0.66,0,2024-01-22 01:37:00
20219,B,ch1,0.19,1,2024-01-23 02:38:00
20220,A,ch1,0.26,0,2024-01-24 03:39:00
20221,A,ch1,0.98,0,2024-01-25 04:40:00
20222,C,ch2,0.69,0,2024-01-26 05:41:00
20223,A,ch2,0.7,1,2024-01-27 06:42:00
20224,A,ch5,0.43,1,2024-01-28 07:43:00
20225,A,ch5,0.54,1,2024-01-01 08:44:00
20226,C,ch5,0.24,1,2024-01-02 09:45:00
20227,A,ch2,0.37,0,2024-01-03 10:46:00
20228,B,ch5,0.23,1,2024-01-04 11:47:00
20229,C,ch2,0.24,1,2024-01-05 12:48:00
20230,B,ch1,0.19,0,2024-01-06 13:49:00
20231,C,ch1,0.55,0,2024-01-07 14:50:00
20232,C,ch4,0.31,1,2024-01-08 15:51:00
20233,A,ch5,0.49,0,2024-01-09 16:52:00
20234,A,ch3,0.33,1,2024-01-10 17:53:00
20235,A,ch2,0.66,0,2024-01-11 18:54:00
20236,A,ch1,0.47,1,2024-01-12 19:55:00
20237,B,ch1,0.27,1,2024-01-13 20:56:00
20238,A,ch4,0.59,1,2024-01-14 21:57:00
20239,B,ch1,0.23,1,2024-01-15 22:58:00
20240,B,ch4,0.87,1,2024-01-16 23:59:00
20241,B,ch4,0.99,1,2024-01-17 00:00:00
20242,A,ch2,0.98,0,2024-01-18 01:01:00
20243,C,ch3,0.34,1,2024-01-19 02:02:00
20244,A,ch1,0.68,0,2024-01-20 03:03:00
20245,B,ch4,0.45,1,2024-01-21 04:04:00
20246,A,ch3,0.29,1,2024-01-22 05:05:00
20247,A,ch5,0.32,0,2024-01-23 06:06:00
20248,B,ch4,0.24,0,2024-01-24 07:07:00
20249,B,ch4,0.58,1,2024-01-25 08:08:00
20250,C,ch1,0.74,1,2024-01-26 09:09:00
20251,B,ch2,0.71,1,2024-01-27 10:10:00
20252,C,ch3,0.5,0,2024-01-28 11:11:00
20253,B,ch1,0.69,0,2024-01-01 12:12:00
20254,C,ch1,0.31,1,2024-01-02 13:13:00
20255,B,ch2,0.54,0,2024-01-03 14:14:00
20256,C,ch2,0.32,1,2024-01-04 15:15:00
20257,C,ch3,0.8,0,2024-01-05 16:16:00
20258,A,ch4,0.61,1,2024-01-06 17:17:00
20259,C,ch3,0.81,1,2024-01-07 18:18:00
20260,C,ch4,1.0,1,2024-01-08 19:19:00
20261,A,ch3,0.25,1,2024-01-09 20:20:00
20262,B,ch5,0.77,0,2024-01-10 21:21:00
20263,A,ch2,0.23,0,2024-01-11 22:22:00
20264,A,ch1,0.57,1,2024-01-12 23:23:00
20265,C,ch5,0.92,1,2024-01-13 00:24:00
20266,A,ch2,0.3,0,2024-01-14 01:25:00
20267,A,ch1,0.56,0,2024-01-15 02:26:00
20268,C,ch4,0.36,0,2024-01-16 03:27:00
20269,B,ch4,0.83,0,2024-01-17 04:28:00
20270,C,ch5,0.29,1,2024-01-18 05:29:00
20271,C,ch5,0.89,0,2024-01-19 06:30:00
20272,B,ch3,0.87,1,2024-01-20 07:31:00
20273,C,ch4,0.39,1,2024-01-21 08:32:00
20274,A,ch3,0.67,0,2024-01-22 09:33:00
20275,A,ch5,0.49,1,2024-01-23 10:34:00
20276,A,ch3,0.65,0,2024-01-24 11:35:00
20277,A,ch5,0.45,0,2024-01-25 12:36:00
20278,C,ch3,0.69,1,2024-01-26 13:37:00
20279,A,ch3,0.68,1,2024-01-27 14:38:00
20280,C,ch3,0.28,1,2024-01-28 15:39:00
20281,B,ch5,0.73,0,2024-01-01 16:40:00
20282,C,ch4,0.43,1,2024-01-02 17:41:00
20283,A,ch4,0.55,1,2024-01-03 18:42:00
20284,A,ch2,0.68,0,2024-01-04 19:43:00
20285,C,ch3,0.45,1,2024-01-05 20:44:00
20286,A,ch2,0.4,1,2024-01-06 21:45:00
20287,A,ch2,0.89,1,2024-01-07 22:46:00
20288,A,ch4,0.22,1,2024-01-08 23:47:00
20289,B,ch4,0.77,0,2024-01-09 00:48:00
20290,A,ch5,0.97,0,2024-01-10 01:49:00
20291,A,ch2,0.32,0,2024-01-11 02:50:00
20292,B,ch3,0.28,1,2024-01-12 03:51:00
20293,C,ch1,0.58,1,2024-01-13 04:52:00
20294,B,ch2,0.86,0,2024-01-14 05:53:00
20295,B,ch2,0.42,0,2024-01-15 06:54:00
20296,C,ch1,0.27,0,2024-01-16 07:55:00
20297,B,ch4,0.98,0,2024-01-17 08:56:00
20298,A,ch4,0.12,0,2024-01-18 09:57:00
20299,A,ch4,0.16,0,2024-01-19 10:58:00
20300,A,ch2,0.4,1,2024-01-20 11:59:00
20301,B,ch2,0.27,1,2024-01-21 12:00:00
20302,A,ch1,0.16,1,2024-01-22 13:01:00
20303,B,ch5,0.22,1,2024-01-23 14:02:00
20304,B,ch4,0.62,0,2024-01-24 15:03:00
20305,A,ch1,0.48,0,2024-01-25 16:04:00
20306,C,ch3,0.86,0,2024-01-26 17:05:00
20307,A,ch2,0.92,0,2024-01-27 18:06:00
20308,A,ch5,0.23,1,2024-01-28 19:07:00
20309,A,ch1,0.88,0,2024-01-01 20:08:00
20310,C,ch3,0.19,1,2024-01-02 21:09:00
20311,C,ch3,0.44,1,2024-01-03 22:10:00
20312,A,ch2,0.56,1,2024-01-04 23:11:00
20313,A,ch3,0.17,0,2024-01-05 00:12:00
20314,C,ch5,0.46,1,2024-01-06 01:13:00
20315,B,ch4,0.87,1,2024-01-07 02:14:00
20316,B,ch4,0.13,0,2024-01-08 03:15:00
20317,A,ch1,0.19,0,2024-01-09 04:16:00
20318,A,ch5,0.86,1,2024-01-10 05:17:00
20319,C,ch1,0.93,0,2024-01-11 06:18:00
20320,A,ch3,0.75,1,2024-01-12 07:19:00
20321,C,ch5,0.25,0,2024-01-13 08:20:00
20322,C,ch3,0.87,1,2024-01-14 09:21:00
20323,B,ch1,0.88,0,2024-01-15 10:22:00
20324,C,ch1,0.34,0,2024-01-16 11:23:00
20325,C,ch4,0.4,1,2024-01-17 12:24:00
20326,C,ch2,0.8,0,2024-01-18 13:25:00
20327,C,ch5,0.66,1,2024-01-19 14:26:00
20328,C,ch3,0.9,0,2024-01-20 15:27:00
20329,C,ch3,0.25,0,2024-01-21 16:28:00
20330,C,ch4,0.38,1,2024-01-22 17:29:00
20331,A,ch4,0.46,0,2024-01-23 18:30:00
20332,B,ch3,0.58,0,2024-01-24 19:31:00
20333,C,ch3,0.7,0,2024-01-25 20:32:00
20334,C,ch1,0.75,1,2024-01-26 21:33:00
20335,C,ch2,0.22,0,2024-01-27 22:34:00
20336,A,ch4,0.75,1,2024-01-28 23:35:00
20337,B,ch2,0.82,1,2024-01-01 00:36:00
20338,C,ch5,0.94,1,2024-01-02 01:37:00
20339,B,ch4,0.37,1,2024-01-03 02:38:00
20340,C,ch1,0.9,0,2024-01-04 03:39:00
20341,B,ch1,0.34,0,2024-01-05 04:40:00
20342,B,ch4,0.7,1,2024-01-06 05:41:00
20343,A,ch2,0.3,0,2024-01-07 06:42:00
20344,C,ch3,0.22,1,2024-01-08 07:43:00
20345,A,ch4,0.42,1,2024-01-09 08:44:00
20346,C,ch4,0.78,1,2024-01-10 09:45:00
20347,C,ch5,0.11,1,2024-01-11 10:46:00
20348,B,ch4,0.25,1,2024-01-12 11:47:00
20349,B,ch1,0.75,1,2024-01-13 12:48:00
20350,B,ch2,0.1,1,2024-01-14 13:49:00
20351,B,ch2,0.89,0,2024-01-15 14:50:00
20352,C,ch5,0.16,1,2024-01-16 15:51:00
20353,A,ch1,0.83,1,2024-01-17 16:52:00
20354,A,ch2,0.97,0,2024-01-18 17:53:00
20355,C,ch5,0.85,1,2024-01-19 18:54:00
20356,A,ch2,0.52,0,2024-01-20 19:55:00
20357,C,ch5,0.42,1,2024-01-21 20:56:00
20358,B,ch1,0.12,0,2024-01-22 21:57:00
20359,C,ch3,0.29,0,2024-01-23 22:58:00
20360,C,ch3,0.77,0,2024-01-24 23:59:00
20361,C,ch2,0.26,0,2024-01-25 00:00:00
20362,A,ch4,0.12,0,2024-01-26 01:01:00
20363,B,ch5,0.55,0,2024-01-27 02:02:00
20364,C,ch4,0.75,0,2024-01-28 03:03:00
20365,A,ch2,0.82,0,2024-01-01 04:04:00
20366,B,ch1,0.9,0,2024-01-02 05:05:00
20367,C,ch1,0.28,0,2024-01-03 06:06:00
20368,C,ch4,0.13,0,2024-01-04 07:07:00
20369,C,ch5,0.84,0,2024-01-05 08:08:00
20370,B,ch4,0.3,0,2024-01-06 09:09:00
20371,A,ch5,0.6,1,2024-01-07 10:10:00
20372,A,ch2,0.28,1,2024-01-08 11:11:00
20373,C,ch5,0.93,1,2024-01-09 12:12:00
20374,B,ch4,0.36,0,2024-01-10 13:13:00
20375,C,ch2,0.63,1,2024-01-11 14:14:00
20376,C,ch3,0.49,1,2024-01-12 15:15:00
20377,B,ch4,0.47,0,2024-01-13 16:16:00
20378,C,ch5,0.87,0,2024-01-14 17:17:00
20379,B,ch4,0.45,0,2024-01-15 18:18:00
20380,A,ch1,0.93,0,2024-01-16 19:19:00
20381,B,ch2,0.91,1,2024-01-17 20:20:00
20382,A,ch4,0.99,0,2024-01-18 21:21:00
20383,A,ch2,0.38,1,2024-01-19 22:22:00
20384,B,ch5,0.25,1,2024-01-20 23:23:00
20385,C,ch4,1.0,0,2024-01-21 00:24:00
20386,B,ch3,0.36,1,2024-01-22 01:25:00
20387,A,ch5,0.15,1,2024-01-23 02:26:00
20388,B,ch1,0.59,1,2024-01-24 03:27:00
20389,C,ch5,0.51,1,2024-01-25 04:28:00
20390,B,ch3,0.9,0,2024-01-26 05:29:00
20391,B,ch5,0.26,1,2024-01-27 06:30:00
20392,A,ch5,0.51,1,2024-01-28 07:31:00
20393,A,ch2,0.93,0,2024-01-01 08:32:00
20394,B,ch1,0.99,0,2024-01-02 09:33:00
20395,C,ch1,0.28,1,2024-01-03 10:34:00
20396,C,ch3,0.72,1,2024-01-04 11:35:00
20397,C,ch3,0.88,0,2024-01-05 12:36:00
20398,A,ch1,0.68,0,2024-01-06 13:37:00
20399,C,ch2,0.92,0,2024-01-07 14:38:00
20400,A,ch5,0.73,0,2024-01-08 15:39:00
20401,C,ch2,0.53,0,2024-01-09 16:40:00
20402,C,ch5,0.3,0,2024-01-10 17:41:00
20403,C,ch4,0.79,1,2024-01-11 18:42:00
20404,C,ch4,0.73,0,2024-01-12 19:43:00
20405,B,ch1,0.63,0,2024-01-13 20:44:00
20406,B,ch5,0.23,0,2024-01-14 21:45:00
20407,B,ch1,0.35,1,2024-01-15 22:46:00
20408,A,ch4,0.42,0,2024-01-16 23:47:00
20409,C,ch3,0.73,0,2024-01-17 00:48:00
20410,C,ch2,0.42,1,2024-01-18 01:49:00
20411,C,ch4,0.15,1,2024-01-19 02:50:00
20412,C,ch2,0.56,0,2024-01-20 03:51:00
20413,A,ch2,0.57,1,2024-01-21 04:52:00
20414,C,ch1,0.99,0,2024-01-22 05:53:00
20415,A,ch1,0.32,1,2024-01-23 06:54:00
20416,C,ch2,0.53,1,2024-01-24 07:55:00
20417,A,ch3,0.14,1,2024-01-25 08:56:00
20418,A,ch5,0.21,1,2024-01-26 09:57:00
20419,A,ch5,0.16,1,2024-01-27 10:58:00
20420,C,ch1,0.42,0,2024-01-28 11:59:00
20421,C,ch4,0.84,1,2024-01-01 12:00:00
20422,A,ch1,0.31,0,2024-01-02 13:01:00
20423,A,ch4,0.79,0,2024-01-03 14:02:00
20424,A,ch5,0.78,0,2024-01-04 15:03:00
20425,B,ch5,0.15,1,2024-01-05 16:04:00
20426,C,ch4,0.54,0,2024-01-06 17:05:00
20427,A,ch4,0.54,0,2024-01-07 18:06:00
20428,A,ch5,0.93,1,2024-01-08 19:07:00
20429,A,ch4,0.39,1,2024-01-09 20:08:00
20430,A,ch1,0.78,0,2024-01-10 21:09:00
20431,B,ch1,0.52,1,2024-01-11 22:10:00
20432,B,ch3,0.75,0,2024-01-12 23:11:00
20433,A,ch5,0.41,1,2024-01-13 00:12:00
20434,B,ch4,0.76,1,2024-01-14 01:13:00
20435,B,ch5,0.35,0,2024-01-15 02:14:00
20436,B,ch5,0.54,1,2024-01-16 03:15:00
20437,B,ch3,0.69,1,2024-01-17 04:16:00
20438,B,ch2,0.28,1,2024-01-18 05:17:00
20439,A,ch5,0.41,0,2024-01-19 06:18:00
20440,C,ch4,0.75,1,2024-01-20 07:19:00
20441,A,ch4,0.93,1,2024-01-21 08:20:00
20442,B,ch1,0.38,0,2024-01-22 09:21:00
20443,A,ch3,0.27,1,2024-01-23 10:22:00
20444,A,ch1,0.77,1,2024-01-24 11:23:00
20445,C,ch1,0.42,0,2024-01-25 12:24:00
20446,C,ch2,0.65,1,2024-01-26 13:25:00
20447,B,ch3,0.92,0,2024-01-27 14:26:00
20448,B,ch3,0.23,0,2024-01-28 15:27:00
20449,B,ch5,0.84,0,2024-01-01 16:28:00
20450,A,ch1,0.21,0,2024-01-02 17:29:00
20451,A,ch2,0.22,0,2024-01-03 18:30:00
20452,C,ch5,0.16,0,2024-01-04 19:31:00
20453,B,ch1,0.36,1,2024-01-05 20:32:00
20454,C,ch5,0.27,1,2024-01-06 21:33:00
20455,C,ch3,0.75,1,2024-01-07 22:34:00
20456,B,ch4,0.66,1,2024-01-08 23:35:00
20457,A,ch1,0.8,0,2024-01-09 00:36:00
20458,A,ch3,0.48,1,2024-01-10 01:37:00
20459,B,ch2,0.8,1,2024-01-11 02:38:00
20460,B,ch3,0.27,0,2024-01-12 03:39:00
20461,B,ch5,0.33,0,2024-01-13 04:40:00
20462,C,ch5,0.92,1,2024-01-14 05:41:00
20463,B,ch5,0.32,0,2024-01-15 06:42:00
20464,B,ch1,0.26,0,2024-01-16 07:43:00
20465,A,ch2,0.68,1,2024-01-17 08:44:00
20466,A,ch2,0.3,1,2024-01-18 09:45:00
20467,A,ch2,0.58,0,2024-01-19 10:46:00
20468,A,ch5,0.96,0,2024-01-20 11:47:00
20469,A,ch1,0.45,0,2024-01-21 12:48:00
20470,C,ch2,0.55,0,2024-01-22 13:49:00
20471,A,ch4,0.67,0,2024-01-23 14:50:00
20472,A,ch1,0.7,0,2024-01-24 15:51:00
20473,B,ch3,0.4,1,2024-01-25 16:52:00
20474,C,ch1,0.68,0,2024-01-26 17:53:00
20475,B,ch5,0.58,0,2024-01-27 18:54:00
20476,B,ch1,0.9,0,2024-01-28 19:55:00
20477,C,ch3,0.72,0,2024-01-01 20:56:00
20478,B,ch3,0.32,1,2024-01-02 21:57:00
20479,B,ch2,0.13,0,2024-01-03 22:58:00
20480,A,ch4,0.11,0,2024-01-04 23:59:00
20481,B,ch5,0.97,0,2024-01-05 00:00:00
20482,B,ch4,0.63,0,2024-01-06 01:01:00
20483,C,ch5,0.83,1,2024-01-07 02:02:00
20484,B,ch3,0.44,0,2024-01-08 03:03:00
20485,C,ch3,0.59,0,2024-01-09 04:04:00
20486,C,ch4,0.78,0,2024-01-10 05:05:00
20487,A,ch5,0.66,0,2024-01-11 06:06:00
20488,A,ch3,0.83,0,2024-01-12 07:07:00
20489,B,ch3,1.0,0,2024-01-13 08:08:00
20490,B,ch3,0.8,1,2024-01-14 09:09:00
20491,C,ch2,0.79,1,2024-01-15 10:10:00
20492,B,ch1,0.53,0,2024-01-16 11:11:00
20493,C,ch3,0.23,1,2024-01-17 12:12:00
20494,A,ch1,0.77,0,2024-01-18 13:13:00
20495,C,ch1,0.58,0,2024-01-19 14:14:00
20496,B,ch2,0.69,0,2024-01-20 15:15:00
20497,B,ch4,0.17,1,2024-01-21 16:16:00
20498,A,ch1,0.53,1,2024-01-22 17:17:00
