user_id,age,gender,city,prefer_subject,device,active_hour,session_count
U83,36,F,一线城市,编程,mobile,15,24
U84,40,M,一线城市,数据,pc,22,18
U85,31,F,一线城市,设计,mobile,18,14
U86,28,M,一线城市,商业,pc,11,9
U87,24,F,三线城市,语言,mobile,9,7
U88,35,M,一线城市,编程,pc,17,23
U89,39,F,一线城市,数据,mobile,20,16
U90,26,M,一线城市,设计,pc,19,13
U91,33,F,二线城市,商业,mobile,12,10
U92,30,M,一线城市,编程,pc,15,22
U93,42,F,一线城市,语言,mobile,11,8
U94,27,M,一线城市,数据,pc,18,17
U95,37,F,一线城市,设计,mobile,21,14
U96,31,M,二线城市,商业,pc,14,11
U97,29,F,一线城市,编程,mobile,16,23
U98,34,M,一线城市,数据,pc,19,18
U99,25,F,一线城市,设计,mobile,20,13
U100,38,M,一线城市,商业,pc,12,10
U101,32,F,二线城市,语言,mobile,11,8
U102,28,M,一线城市,编程,pc,17,24
U103,41,F,一线城市,数据,mobile,22,16
U104,26,M,一线城市,设计,pc,18,14
U105,35,F,一线城市,商业,mobile,13,11
U106,30,M,三线城市,语言,pc,10,7
U107,24,F,一线城市,编程,mobile,15,22
U108,37,M,一线城市,数据,pc,19,18
U109,33,F,一线城市,设计,mobile,20,13
U110,29,M,一线城市,商业,pc,12,10
U111,40,F,二线城市,语言,mobile,11,8
U112,27,M,一线城市,编程,pc,16,23
U113,34,F,一线城市,数据,mobile,21,17
U114,25,M,一线城市,设计,pc,18,14
U115,38,F,一线城市,商业,mobile,13,11
U116,31,M,二线城市,语言,pc,10,8
U117,23,F,一线城市,编程,mobile,15,22
U118,42,M,一线城市,数据,pc,19,18
U119,36,F,一线城市,设计,mobile,20,13
U120,28,M,一线城市,商业,pc,12,10
U121,33,F,一线城市,语言,mobile,11,8
U122,26,M,一线城市,编程,pc,17,24
U123,39,F,二线城市,数据,mobile,21,16
U124,30,M,一线城市,设计,pc,18,14
U125,35,F,一线城市,商业,mobile,13,11
U126,24,M,一线城市,语言,pc,10,7
U127,32,F,一线城市,编程,mobile,15,22
U128,41,M,一线城市,数据,pc,19,18
U129,28,F,一线城市,设计,mobile,20,13
U130,37,M,一线二线城市,商业,pc,12,10
U131,33,F,一线城市,语言,mobile,11,8
U132,27,M,一线城市,编程,pc,16,23
U133,34,F,一线城市,数据,mobile,21,17
U134,25,M,一线城市,设计,pc,18,14
U135,38,F,二线城市,商业,mobile,13,11
U136,30,M,一线城市,语言,pc,10,7
U137,23,F,一线城市,编程,mobile,15,22
U138,43,M,一线城市,数据,pc,19,18
U139,36,F,一线城市,设计,mobile,20,13
U140,29,M,一线城市,商业,pc,12,10
U141,33,F,一线城市,语言,mobile,11,8
U142,26,M,一线城市,编程,pc,16,24
U143,37,F,二线城市,数据,mobile,21,16
U144,31,M,一线城市,设计,pc,18,14
U145,39,F,一线城市,商业,mobile,13,11
U146,28,M,一线城市,语言,pc,10,7
U147,24,F,一线城市,编程,mobile,15,22
U148,40,M,一线城市,数据,pc,19,18
U149,32,F,一线城市,设计,mobile,20,13
U150,35,M,一线城市,商业,pc,12,10
U151,30,F,一线城市,语言,mobile,11,8
U152,27,M,一线城市,编程,pc,16,23
U153,38,F,一线城市,数据,mobile,21,17
U154,25,M,二线城市,设计,pc,18,14
U155,33,F,一线城市,商业,mobile,13,11
U156,31,M,一线城市,语言,pc,10,7
U157,29,F,一线城市,编程,mobile,15,22
U158,41,M,一线城市,数据,pc,19,18
U159,34,F,一线城市,设计,mobile,20,13
U160,37,M,一线城市,商业,pc,12,10
U161,26,F,二线城市,语言,mobile,11,8
U162,32,M,一线城市,编程,pc,17,24
U163,39,F,一线城市,数据,mobile,22,16
U164,28,M,一线城市,设计,pc,18,14
U165,35,F,一线城市,商业,mobile,13,11
U166,30,M,一线城市,语言,pc,10,7
U167,24,F,一线城市,编程,mobile,15,22
U168,42,M,一线城市,数据,pc,19,18
U169,33,F,一线城市,设计,mobile,20,13
U170,31,M,二线城市,商业,pc,12,10
U171,38,F,一线城市,语言,mobile,11,8
U172,27,M,一线城市,编程,pc,16,23
U173,36,F,一线城市,数据,mobile,21,17
U174,29,M,一线城市,设计,pc,18,14
U175,34,F,一线城市,商业,mobile,13,11
U176,25,M,一线城市,语言,pc,10,7
U177,32,F,一线城市,编程,mobile,15,22
U178,40,M,一线城市,数据,pc,19,18
U179,37,F,一线城市,设计,mobile,20,13
U180,31,M,一线城市,商业,pc,12,10
U181,35,F,二线城市,语言,mobile,11,8
U182,28,M,一线城市,编程,pc,17,24
U183,39,F,一线城市,数据,mobile,22,16
U184,26,M,一线城市,设计,pc,18,14
U185,33,F,一线城市,商业,mobile,13,11
U186,30,M,一线城市,语言,pc,10,7
U187,24,F,一线城市,编程,mobile,15,22
U188,41,M,一线城市,数据,pc,19,18
U189,36,F,一线城市,设计,mobile,20,13
U190,32,M,一线城市,商业,pc,12,10
U191,37,F,一线城市,语言,mobile,11,8
U192,27,M,一线城市,编程,pc,16,23
U193,34,F,一线城市,数据,mobile,21,17
U194,29,M,二线城市,设计,pc,18,14
U195,38,F,一线城市,商业,mobile,13,11
U196,31,M,一线城市,语言,pc,10,7
U197,25,F,一线城市,编程,mobile,15,22
U198,42,M,一线城市,数据,pc,19,18
U199,33,F,一线城市,设计,mobile,20,13
U200,35,M,一线城市,商业,pc,12,10
U201,28,F,一线城市,语言,mobile,11,8
U202,32,M,一线城市,编程,pc,17,24
U203,40,F,二线城市,数据,mobile,22,16
U204,26,M,一线城市,设计,pc,18,14
U205,37,F,一线城市,商业,mobile,13,11
U206,30,M,一线城市,语言,pc,10,7
U207,24,F,一线城市,编程,mobile,15,22
U208,39,M,一线城市,数据,pc,19,18
U209,34,F,一线城市,设计,mobile,20,13
U210,33,M,一线城市,商业,pc,12,10
U211,36,F,一线城市,语言,mobile,11,8
U212,27,M,一线城市,编程,pc,16,23
U213,38,F,一线城市,数据,mobile,21,17
U214,29,M,二线城市,设计,pc,18,14
U215,35,F,一线城市,商业,mobile,13,11
U216,31,M,一线城市,语言,pc,10,7
U217,25,F,一线城市,编程,mobile,15,22
U218,41,M,一线城市,数据,pc,19,18
U219,33,F,一线城市,设计,mobile,20,13
U220,37,M,一线城市,商业,pc,12,10
U221,32,F,一线城市,语言,mobile,11,8
U222,28,M,一线城市,编程,pc,17,24
U223,42,F,一线城市,数据,mobile,22,16
U224,26,M,一线城市,设计,pc,18,14
U225,34,F,一线城市,商业,mobile,13,11
U226,30,M,一线城市,语言,pc,10,7
U227,24,F,一线城市,编程,mobile,15,22
U228,39,M,一线城市,数据,pc,19,18
U229,36,F,一线城市,设计,mobile,20,13
U230,33,M,一线二线城市,商业,pc,12,10
U231,35,F,一线城市,语言,mobile,11,8
U232,27,M,一线城市,编程,pc,16,23
U233,40,F,一线城市,数据,mobile,21,17
U234,29,M,一线城市,设计,pc,18,14
U235,38,F,二线城市,商业,mobile,13,11
U236,31,M,一线城市,语言,pc,10,7
U237,25,F,一线城市,编程,mobile,15,22
U238,41,M,一线城市,数据,pc,19,18
U239,36,F,一线城市,设计,mobile,20,13
U240,33,M,一线城市,商业,pc,12,10
U241,37,F,一线城市,语言,mobile,11,8
U242,28,M,一线城市,编程,pc,17,24
U243,34,F,一线城市,数据,mobile,22,16
U244,26,M,一线城市,设计,pc,18,14
U245,32,F,一线城市,商业,mobile,13,11
U246,30,M,一线城市,语言,pc,10,7
U247,24,F,一线城市,编程,mobile,15,22
U248,39,M,一线城市,数据,pc,19,18
U249,38,F,一线城市,设计,mobile,20,13
U250,31,M,一线城市,商业,pc,12,10
U251,36,F,二线城市,语言,mobile,11,8
U252,27,M,一线城市,编程,pc,16,23
U253,35,F,一线城市,数据,mobile,21,17
U254,29,M,一线城市,设计,pc,18,14
U255,33,F,一线城市,商业,mobile,13,11
U256,25,M,一线城市,语言,pc,10,7
U257,32,F,一线城市,编程,mobile,15,22
U258,40,M,一线城市,数据,pc,19,18
U259,37,F,一线城市,设计,mobile,20,13
U260,34,M,一线城市,商业,pc,12,10
U261,31,F,一线城市,语言,mobile,11,8
U262,28,M,一线城市,编程,pc,17,24
U263,38,F,一线城市,数据,mobile,22,16
U264,26,M,一线城市,设计,pc,18,14
U265,33,F,一线城市,商业,mobile,13,11
U266,30,M,一线城市,语言,pc,10,7
U267,24,F,一线城市,编程,mobile,15,22
U268,41,M,一线城市,数据,pc,19,18
U269,36,F,一线城市,设计,mobile,20,13
U270,35,M,一线二线城市,商业,pc,12,10
U271,32,F,一线城市,语言,mobile,11,8
U272,27,M,一线城市,编程,pc,16,23
U273,39,F,一线城市,数据,mobile,21,17
U274,29,M,一线城市,设计,pc,18,14
U275,34,F,一线城市,商业,mobile,13,11
U276,31,M,一线城市,语言,pc,10,7
U277,25,F,一线城市,编程,mobile,15,22
U278,42,M,一线城市,数据,pc,19,18
U279,33,F,一线城市,设计,mobile,20,13
U280,37,M,一线城市,商业,pc,12,10
U281,38,F,一线城市,语言,mobile,11,8
U282,28,M,一线城市,编程,pc,17,24
U283,30,F,一线城市,数据,mobile,22,16
U284,26,M,一线城市,设计,pc,18,14
U285,35,F,二线城市,商业,mobile,13,11
U286,32,M,一线城市,语言,pc,10,7
U287,24,F,一线城市,编程,mobile,15,22
U288,41,M,一线城市,数据,pc,19,18
U289,36,F,一线城市,设计,mobile,20,13
U290,33,M,一线城市,商业,pc,12,10
U291,37,F,一线城市,语言,mobile,11,8
U292,27,M,一线城市,编程,pc,16,23
U293,34,F,一线城市,数据,mobile,21,17
U294,29,M,一线城市,设计,pc,18,14
U295,31,F,一线城市,商业,mobile,13,11
U296,25,M,一线城市,语言,pc,10,7
U297,32,F,一线城市,编程,mobile,15,22
U298,40,M,一线城市,数据,pc,19,18
U299,38,F,一线城市,设计,mobile,20,13
U300,35,M,一线城市,商业,pc,12,10
