date,channel,user_id,hour,session_count,active_days
2024-01-11,自然搜索,10051,8,4,19
2024-01-11,付费广告,10052,13,3,14
2024-01-11,社交媒体,10053,19,2,7
2024-01-11,推荐,10054,10,6,24
2024-01-11,直访,10055,7,3,12
2024-01-12,自然搜索,10056,11,7,26
2024-01-12,付费广告,10057,16,4,17
2024-01-12,社交媒体,10058,22,3,9
2024-01-12,推荐,10059,13,9,31
2024-01-12,直访,10060,10,4,18
2024-01-13,自然搜索,10061,9,5,22
2024-01-13,付费广告,10062,14,3,15
2024-01-13,社交媒体,10063,20,2,8
2024-01-13,推荐,10064,11,7,28
2024-01-13,直访,10065,8,4,18
2024-01-14,自然搜索,10066,10,6,25
2024-01-14,付费广告,10067,15,4,16
2024-01-14,社交媒体,10068,21,3,10
2024-01-14,推荐,10069,12,8,30
2024-01-14,直访,10070,9,5,20
2024-01-15,自然搜索,10071,8,4,19
2024-01-15,付费广告,10072,13,3,14
2024-01-15,社交媒体,10073,19,2,7
2024-01-15,推荐,10074,10,6,24
2024-01-15,直访,10075,7,3,12
2024-01-16,自然搜索,10076,11,7,26
2024-01-16,付费广告,10077,16,4,17
2024-01-16,社交媒体,10078,22,3,9
2024-01-16,推荐,10079,13,9,31
2024-01-16,直访,10080,10,4,18
2024-01-17,自然搜索,10081,9,5,22
2024-01-17,付费广告,10082,14,3,15
2024-01-17,社交媒体,10083,20,2,8
2024-01-17,推荐,10084,11,7,28
2024-01-17,直访,10085,8,4,18
2024-01-18,自然搜索,10086,10,6,25
2024-01-18,付费广告,10087,15,4,16
2024-01-18,社交媒体,10088,21,3,10
2024-01-18,推荐,10089,12,8,30
2024-01-18,直访,10090,9,5,20
2024-01-19,自然搜索,10091,8,4,19
2024-01-19,付费广告,10092,13,3,14
2024-01-19,社交媒体,10093,19,2,7
2024-01-19,推荐,10094,10,6,24
2024-01-19,直访,10095,7,3,12
2024-01-20,自然搜索,10096,11,7,26
2024-01-20,付费广告,10097,16,4,17
2024-01-20,社交媒体,10098,22,3,9
2024-01-20,推荐,10099,13,9,31
2024-01-20,直访,10100,10,4,18
2024-01-21,自然搜索,10101,9,5,22
2024-01-21,付费广告,10102,14,3,15
2024-01-21,社交媒体,10103,20,2,8
2024-01-21,推荐,10104,11,7,28
2024-01-21,直访,10105,8,4,18
2024-01-22,自然搜索,10106,10,6,25
2024-01-22,付费广告,10107,15,4,16
2024-01-22,社交媒体,10108,21,3,10
2024-01-22,推荐,10109,12,8,30
2024-01-22,直访,10110,9,5,20
2024-01-23,自然搜索,10111,8,4,19
2024-01-23,付费广告,10112,13,3,14
2024-01-23,社交媒体,10113,19,2,7
2024-01-23,推荐,10114,10,6,24
2024-01-23,直访,10115,7,3,12
2024-01-24,自然搜索,10116,11,7,26
2024-01-24,付费广告,10117,16,4,17
2024-01-24,社交媒体,10118,22,3,9
2024-01-24,推荐,10119,13,9,31
2024-01-24,直访,10120,10,4,18
2024-01-25,自然搜索,10121,9,5,22
2024-01-25,付费广告,10122,14,3,15
2024-01-25,社交媒体,10123,20,2,8
2024-01-25,推荐,10124,11,7,28
2024-01-25,直访,10125,8,4,18
2024-01-26,自然搜索,10126,10,6,25
2024-01-26,付费广告,10127,15,4,16
2024-01-26,社交媒体,10128,21,3,10
2024-01-26,推荐,10129,12,8,30
2024-01-26,直访,10130,9,5,20
2024-01-27,自然搜索,10131,8,4,19
2024-01-27,付费广告,10132,13,3,14
2024-01-27,社交媒体,10133,19,2,7
2024-01-27,推荐,10134,10,6,24
2024-01-27,直访,10135,7,3,12
2024-01-28,自然搜索,10136,11,7,26
2024-01-28,付费广告,10137,16,4,17
2024-01-28,社交媒体,10138,22,3,9
2024-01-28,推荐,10139,13,9,31
2024-01-28,直访,10140,10,4,18
2024-01-29,自然搜索,10141,9,5,22
2024-01-29,付费广告,10142,14,3,15
2024-01-29,社交媒体,10143,20,2,8
2024-01-29,推荐,10144,11,7,28
2024-01-29,直访,10145,8,4,18
2024-01-30,自然搜索,10146,10,6,25
2024-01-30,付费广告,10147,15,4,16
2024-01-30,社交媒体,10148,21,3,10
2024-01-30,推荐,10149,12,8,30
2024-01-30,直访,10150,9,5,20
2024-01-31,自然搜索,10151,8,4,19
2024-01-31,付费广告,10152,13,3,14
2024-01-31,社交媒体,10153,19,2,7
2024-01-31,推荐,10154,10,6,24
2024-01-31,直访,10155,7,3,12
2024-01-15,自然搜索,10156,11,7,26
2024-01-16,付费广告,10157,16,4,17
2024-01-17,社交媒体,10158,22,3,9
2024-01-18,推荐,10159,13,9,31
2024-01-19,直访,10160,10,4,18
2024-01-20,自然搜索,10161,9,5,22
2024-01-21,付费广告,10162,14,3,15
2024-01-22,社交媒体,10163,20,2,8
2024-01-23,推荐,10164,11,7,28
2024-01-24,直访,10165,8,4,18
2024-01-25,自然搜索,10166,10,6,25
2024-01-26,付费广告,10167,15,4,16
2024-01-27,社交媒体,10168,21,3,10
2024-01-28,推荐,10169,12,8,30
2024-01-29,直访,10170,9,5,20
2024-01-30,自然搜索,10171,8,4,19
2024-01-31,付费广告,10172,13,3,14
2024-01-10,社交媒体,10173,19,2,7
2024-01-11,推荐,10174,10,6,24
2024-01-12,直访,10175,7,3,12
2024-01-13,自然搜索,10176,11,7,26
2024-01-14,付费广告,10177,16,4,17
2024-01-15,社交媒体,10178,22,3,9
2024-01-16,推荐,10179,13,9,31
2024-01-17,直访,10180,10,4,18
2024-01-18,自然搜索,10181,9,5,22
2024-01-19,付费广告,10182,14,3,15
2024-01-20,社交媒体,10183,20,2,8
2024-01-21,推荐,10184,11,7,28
2024-01-22,直访,10185,8,4,18
2024-01-23,自然搜索,10186,10,6,25
2024-01-24,付费广告,10187,15,4,16
2024-01-25,社交媒体,10188,21,3,10
2024-01-26,推荐,10189,12,8,30
2024-01-27,直访,10190,9,5,20
2024-01-28,自然搜索,10191,8,4,19
2024-01-29,付费广告,10192,13,3,14
2024-01-30,社交媒体,10193,19,2,7
2024-01-31,推荐,10194,10,6,24
2024-01-10,直访,10195,7,3,12
2024-01-11,自然搜索,10196,11,7,26
2024-01-12,付费广告,10197,16,4,17
2024-01-13,社交媒体,10198,22,3,9
2024-01-14,推荐,10199,13,9,31
2024-01-15,直访,10200,10,4,18
2024-01-16,自然搜索,10201,9,5,22
2024-01-17,付费广告,10202,14,3,15
2024-01-18,社交媒体,10203,20,2,8
2024-01-19,推荐,10204,11,7,28
2024-01-20,直访,10205,8,4,18
2024-01-21,自然搜索,10206,10,6,25
2024-01-22,付费广告,10207,15,4,16
2024-01-23,社交媒体,10208,21,3,10
2024-01-24,推荐,10209,12,8,30
2024-01-25,直访,10210,9,5,20
2024-01-26,自然搜索,10211,8,4,19
2024-01-27,付费广告,10212,13,3,14
2024-01-28,社交媒体,10213,19,2,7
2024-01-29,推荐,10214,10,6,24
2024-01-30,直访,10215,7,3,12
2024-01-31,自然搜索,10216,11,7,26
2024-01-05,付费广告,10217,16,4,17
2024-01-06,社交媒体,10218,22,3,9
2024-01-07,推荐,10219,13,9,31
2024-01-08,直访,10220,10,4,18
2024-01-09,自然搜索,10221,9,5,22
2024-01-10,付费广告,10222,14,3,15
2024-01-11,社交媒体,10223,20,2,8
2024-01-12,推荐,10224,11,7,28
2024-01-13,直访,10225,8,4,18
2024-01-14,自然搜索,10226,10,6,25
2024-01-15,付费广告,10227,15,4,16
2024-01-16,社交媒体,10228,21,3,10
2024-01-17,推荐,10229,12,8,30
2024-01-18,直访,10230,9,5,20
2024-01-19,自然搜索,10231,8,4,19
2024-01-20,付费广告,10232,13,3,14
2024-01-21,社交媒体,10233,19,2,7
2024-01-22,推荐,10234,10,6,24
2024-01-23,直访,10235,7,3,12
2024-01-24,自然搜索,10236,11,7,26
2024-01-25,付费广告,10237,16,4,17
2024-01-26,社交媒体,10238,22,3,9
2024-01-27,推荐,10239,13,9,31
2024-01-28,直访,10240,10,4,18
2024-01-29,自然搜索,10241,9,5,22
2024-01-30,付费广告,10242,14,3,15
2024-01-31,社交媒体,10243,20,2,8
2024-01-01,推荐,10244,11,7,28
2024-01-02,直访,10245,8,4,18
2024-01-03,自然搜索,10246,10,6,25
2024-01-04,付费广告,10247,15,4,16
2024-01-05,社交媒体,10248,21,3,10
2024-01-06,推荐,10249,12,8,30
2024-01-07,直访,10250,9,5,20
