user_id,chapter_id,duration_min,pause_count,seek_count,quiz_score
50124,ch3,16.4,0,7,67
50125,ch2,65.7,0,7,73
50126,ch4,21.0,1,5,65
50127,ch3,30.1,9,6,58
50128,ch1,74.6,5,2,67
50129,ch1,51.1,1,15,65
50130,ch2,60.8,7,19,38
50131,ch2,88.9,9,14,58
50132,ch1,52.3,5,19,55
50133,ch3,31.8,5,11,68
50134,ch2,20.9,3,5,59
50135,ch1,40.8,14,18,43
50136,ch4,23.9,8,12,50
50137,ch1,46.5,5,8,82
50138,ch1,26.2,1,4,66
50139,ch2,57.5,2,0,69
50140,ch3,19.9,3,18,35
50141,ch2,32.1,4,5,68
50142,ch1,41.5,7,10,66
50143,ch1,15.8,12,2,54
50144,ch3,84.0,3,20,30
50145,ch2,36.0,1,7,62
50146,ch3,14.6,0,7,54
50147,ch1,73.8,4,2,57
50148,ch2,71.3,14,15,50
50149,ch2,39.9,5,10,62
50150,ch4,25.0,4,6,44
50151,ch2,35.7,13,2,65
50152,ch4,31.1,9,16,41
50153,ch3,74.7,3,7,63
50154,ch1,53.4,15,11,44
50155,ch3,12.8,10,11,44
50156,ch3,22.1,7,15,48
50157,ch1,61.1,13,17,38
50158,ch3,73.7,3,3,72
50159,ch2,88.6,2,18,51
50160,ch1,83.0,8,1,64
50161,ch3,76.6,13,19,38
50162,ch3,40.4,3,16,50
50163,ch4,18.8,0,17,44
50164,ch4,24.4,7,1,51
50165,ch4,21.8,1,19,55
50166,ch4,20.1,5,0,55
50167,ch4,25.7,14,10,49
50168,ch2,85.9,6,18,24
50169,ch1,47.4,1,14,40
50170,ch3,60.7,12,11,54
50171,ch3,80.9,15,7,61
50172,ch3,56.0,9,4,62
50173,ch4,49.0,10,0,59
50174,ch4,48.3,12,20,44
50175,ch4,50.9,4,8,38
50176,ch1,56.3,5,2,64
50177,ch2,13.6,3,1,53
50178,ch4,54.6,11,1,41
50179,ch3,41.1,9,2,65
50180,ch2,33.0,4,11,33
50181,ch2,19.3,2,20,47
50182,ch4,84.8,12,15,40
50183,ch2,43.2,12,15,30
50184,ch4,87.6,9,0,55
50185,ch2,71.3,7,0,67
50186,ch3,15.0,10,6,62
50187,ch3,74.5,13,8,45
50188,ch1,44.2,11,15,44
50189,ch4,39.8,4,16,60
50190,ch1,62.1,3,17,42
50191,ch3,13.6,4,18,51
50192,ch3,55.4,10,0,62
50193,ch2,14.1,13,19,31
50194,ch4,69.8,2,4,52
50195,ch3,25.3,5,7,48
50196,ch1,44.3,11,20,52
50197,ch4,42.4,12,17,42
50198,ch3,24.5,7,18,47
50199,ch4,59.5,12,17,45
50200,ch3,41.0,10,13,33
50201,ch2,68.7,10,18,46
50202,ch2,74.5,0,2,80
50203,ch2,88.2,13,5,48
50204,ch1,67.5,0,20,53
50205,ch4,33.0,4,19,37
50206,ch2,81.6,0,2,79
50207,ch1,37.7,14,2,26
50208,ch2,13.6,4,7,57
50209,ch2,36.9,13,12,37
50210,ch3,79.6,11,0,64
50211,ch1,85.0,3,15,58
50212,ch1,64.4,12,8,48
50213,ch3,78.5,9,10,72
50214,ch2,24.5,15,15,45
50215,ch1,87.2,14,2,56
50216,ch3,34.2,14,11,74
50217,ch3,49.2,6,1,49
50218,ch3,53.6,2,18,52
50219,ch4,67.6,5,14,39
50220,ch4,19.9,7,3,65
50221,ch2,42.4,14,6,58
50222,ch3,26.3,9,9,47
50223,ch3,46.5,2,18,56
50224,ch2,81.3,5,20,28
50225,ch2,10.2,8,16,29
50226,ch4,11.8,9,6,66
50227,ch1,65.4,6,1,67
50228,ch1,19.9,14,20,38
50229,ch3,74.9,0,0,67
50230,ch3,33.3,5,18,50
50231,ch2,44.4,15,16,41
50232,ch4,57.8,14,17,44
50233,ch4,20.6,5,2,55
50234,ch1,69.3,3,6,63
50235,ch4,18.0,8,13,59
50236,ch1,43.8,10,16,39
50237,ch3,55.7,5,15,46
50238,ch2,48.3,7,12,30
50239,ch3,15.4,3,13,69
50240,ch4,73.4,11,9,53
50241,ch1,16.7,7,7,60
50242,ch4,36.2,11,1,67
50243,ch2,61.8,14,8,57
50244,ch1,47.5,4,2,55
50245,ch4,15.8,4,4,67
50246,ch1,32.2,5,1,56
50247,ch1,68.1,7,20,34
50248,ch3,59.1,7,13,56
50249,ch3,23.5,6,20,54
50250,ch4,54.4,10,20,34
50251,ch4,58.9,2,2,57
50252,ch4,43.4,8,0,61
50253,ch4,89.9,11,19,44
50254,ch1,16.8,7,20,39
50255,ch1,16.8,13,20,39
50256,ch1,10.3,14,20,30
50257,ch4,73.7,8,8,57
50258,ch1,12.1,14,17,46
50259,ch3,19.5,4,13,58
50260,ch3,66.1,2,1,51
50261,ch2,41.0,6,7,50
50262,ch4,26.9,10,1,63
50263,ch4,37.3,14,8,45
50264,ch1,88.0,11,11,49
50265,ch3,85.6,8,4,48
50266,ch1,66.9,8,0,55
50267,ch1,84.4,13,11,29
50268,ch4,65.3,15,14,46
50269,ch1,17.7,2,2,82
50270,ch4,42.7,1,4,60
50271,ch2,18.3,9,5,47
50272,ch1,68.5,3,5,56
50273,ch4,22.9,3,18,60
50274,ch3,21.3,1,7,59
50275,ch3,77.8,15,5,63
50276,ch1,76.1,8,12,51
50277,ch3,66.6,3,4,64
50278,ch2,35.1,10,0,62
50279,ch4,21.1,6,2,71
50280,ch2,14.1,12,7,45
50281,ch4,12.9,1,19,68
50282,ch3,37.9,13,3,29
50283,ch3,29.3,13,0,65
50284,ch3,84.9,10,13,45
50285,ch4,26.9,14,9,44
50286,ch2,74.1,0,15,56
50287,ch1,70.0,8,20,31
50288,ch1,24.2,4,17,44
50289,ch2,70.0,10,13,47
50290,ch3,45.0,3,10,71
50291,ch1,73.0,3,4,75
50292,ch2,84.2,0,4,53
50293,ch1,39.1,3,2,69
50294,ch2,61.4,5,7,42
50295,ch2,89.8,15,5,46
50296,ch3,54.1,12,16,39
50297,ch3,78.4,15,20,33
50298,ch3,21.5,1,9,84
50299,ch1,66.1,11,17,32
