date,channel,dau
2024-02-14,付费广告,753
2024-02-14,社交媒体,336
2024-02-14,推荐,777
2024-02-14,直访,213
2024-02-15,自然搜索,499
2024-02-15,付费广告,698
2024-02-15,社交媒体,387
2024-02-15,推荐,864
2024-02-15,直访,185
2024-02-16,自然搜索,558
2024-02-16,付费广告,696
2024-02-16,社交媒体,321
2024-02-16,推荐,868
2024-02-16,直访,213
2024-02-17,自然搜索,469
2024-02-17,付费广告,763
2024-02-17,社交媒体,390
2024-02-17,推荐,775
2024-02-17,直访,162
2024-02-18,自然搜索,588
2024-02-18,付费广告,653
2024-02-18,社交媒体,273
2024-02-18,推荐,810
2024-02-18,直访,192
2024-02-19,自然搜索,554
2024-02-19,付费广告,774
2024-02-19,社交媒体,373
2024-02-19,推荐,804
2024-02-19,直访,252
2024-02-20,自然搜索,465
2024-02-20,付费广告,692
2024-02-20,社交媒体,347
2024-02-20,推荐,750
2024-02-20,直访,249
2024-02-21,自然搜索,517
2024-02-21,付费广告,766
2024-02-21,社交媒体,323
2024-02-21,推荐,858
2024-02-21,直访,292
2024-02-22,自然搜索,574
2024-02-22,付费广告,689
2024-02-22,社交媒体,298
2024-02-22,推荐,825
2024-02-22,直访,205
2024-02-23,自然搜索,464
2024-02-23,付费广告,798
2024-02-23,社交媒体,388
2024-02-23,推荐,765
2024-02-23,直访,230
2024-02-24,自然搜索,464
2024-02-24,付费广告,662
2024-02-24,社交媒体,399
2024-02-24,推荐,872
2024-02-24,直访,278
2024-02-25,自然搜索,585
2024-02-25,付费广告,690
2024-02-25,社交媒体,264
2024-02-25,推荐,880
2024-02-25,直访,170
2024-02-26,自然搜索,497
2024-02-26,付费广告,667
2024-02-26,社交媒体,267
2024-02-26,推荐,810
2024-02-26,直访,253
2024-02-27,自然搜索,480
2024-02-27,付费广告,795
2024-02-27,社交媒体,313
2024-02-27,推荐,898
2024-02-27,直访,160
2024-02-28,自然搜索,470
2024-02-28,付费广告,757
2024-02-28,社交媒体,399
2024-02-28,推荐,894
2024-02-28,直访,283
2024-02-29,自然搜索,530
2024-02-29,付费广告,716
2024-02-29,社交媒体,302
2024-02-29,推荐,830
2024-02-29,直访,211
2024-02-30,自然搜索,517
2024-02-30,付费广告,751
2024-02-30,社交媒体,283
2024-02-30,推荐,826
2024-02-30,直访,267
2024-02-31,自然搜索,530
2024-02-31,付费广告,668
2024-02-31,社交媒体,252
2024-02-31,推荐,867
2024-02-31,直访,294
2024-02-32,自然搜索,475
2024-02-32,付费广告,668
2024-02-32,社交媒体,387
2024-02-32,推荐,804
2024-02-32,直访,279
2024-02-33,自然搜索,517
2024-02-33,付费广告,683
2024-02-33,社交媒体,339
2024-02-33,推荐,767
2024-02-33,直访,212
2024-02-34,自然搜索,544
2024-02-34,付费广告,722
2024-02-34,社交媒体,290
2024-02-34,推荐,862
2024-02-34,直访,289
2024-02-35,自然搜索,527
2024-02-35,付费广告,785
2024-02-35,社交媒体,252
2024-02-35,推荐,891
2024-02-35,直访,226
2024-02-36,自然搜索,476
2024-02-36,付费广告,684
2024-02-36,社交媒体,317
2024-02-36,推荐,779
2024-02-36,直访,177
2024-02-37,自然搜索,591
2024-02-37,付费广告,689
2024-02-37,社交媒体,319
2024-02-37,推荐,822
2024-02-37,直访,203
2024-02-38,自然搜索,537
2024-02-38,付费广告,702
2024-02-38,社交媒体,317
2024-02-38,推荐,879
2024-02-38,直访,275
2024-02-39,自然搜索,514
2024-02-39,付费广告,663
2024-02-39,社交媒体,273
2024-02-39,推荐,858
2024-02-39,直访,220
2024-02-40,自然搜索,461
2024-02-40,付费广告,650
2024-02-40,社交媒体,335
2024-02-40,推荐,783
2024-02-40,直访,217
2024-02-41,自然搜索,491
2024-02-41,付费广告,763
2024-02-41,社交媒体,391
2024-02-41,推荐,859
2024-02-41,直访,293
